time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-08 00:00:00+00:00,0,0,3,2
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-20 00:00:00+00:00,1,1,0,0
2024-12-03 00:00:00+00:00,1,1,0,0
2024-12-11 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,1,1,0,0
2025-01-16 00:00:00+00:00,1,1,0,0
2025-02-08 00:00:00+00:00,1,1,0,0
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-06 00:00:00+00:00,1,1,0,0
2025-03-17 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,1,1,0,0
2025-04-25 00:00:00+00:00,1,1,0,0
2025-04-28 00:00:00+00:00,1,1,0,0
2025-06-09 00:00:00+00:00,1,1,0,0
2025-07-09 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,1,1,0,0
2025-08-29 00:00:00+00:00,1,1,0,0
2025-08-31 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,8,8,0,0
2025-09-16 00:00:00+00:00,1,1,0,0
2025-09-18 00:00:00+00:00,2,2,0,0
2025-11-04 00:00:00+00:00,1,1,0,0
2025-11-07 00:00:00+00:00,1,1,0,0
2025-11-09 00:00:00+00:00,1,1,0,0
2025-11-10 00:00:00+00:00,1,1,0,0
2025-11-11 00:00:00+00:00,1,1,0,0
2025-11-15 00:00:00+00:00,1,1,0,0
