time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-15 00:00:00+00:00,46,31,150,1
2024-05-16 00:00:00+00:00,1,1,5,1
2024-05-17 00:00:00+00:00,10,8,27,1
2024-05-26 00:00:00+00:00,0,0,5,1
2024-05-29 00:00:00+00:00,0,0,5,1
2024-05-31 00:00:00+00:00,2,1,0,0
2024-06-03 00:00:00+00:00,1,1,0,0
2024-06-04 00:00:00+00:00,1,1,0,0
2024-06-12 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,0,0
2024-06-16 00:00:00+00:00,1,1,0,0
2024-06-18 00:00:00+00:00,0,0,2,1
2024-06-19 00:00:00+00:00,2,2,0,0
2024-06-20 00:00:00+00:00,2,1,0,0
2024-06-25 00:00:00+00:00,1,1,0,0
2024-07-01 00:00:00+00:00,2,1,0,0
2024-07-05 00:00:00+00:00,0,0,9,1
2024-07-17 00:00:00+00:00,0,0,1,1
2024-07-18 00:00:00+00:00,0,0,6,1
2024-07-20 00:00:00+00:00,0,0,4,1
2024-07-30 00:00:00+00:00,0,0,5,1
2024-08-19 00:00:00+00:00,0,0,6,1
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,0,0,2,1
2024-09-09 00:00:00+00:00,0,0,4,1
2024-09-10 00:00:00+00:00,2,2,0,0
2024-09-11 00:00:00+00:00,0,0,7,1
2024-09-13 00:00:00+00:00,6,5,12,2
2024-09-24 00:00:00+00:00,0,0,8,1
2024-10-07 00:00:00+00:00,1,1,0,0
2024-10-10 00:00:00+00:00,5,4,52,1
2024-10-11 00:00:00+00:00,1,1,0,0
