url_path,views_total,views_unique
/mike-clark-8192/argparse-typegen,11,3
/mike-clark-8192/argparse-typegen/community,8,1
/mike-clark-8192/argparse-typegen/tree/main,8,1
/mike-clark-8192/argparse-typegen/new/main,6,1
/mike-clark-8192/argparse-typegen/pulse,6,1
/mike-clark-8192/argparse-typegen/tree/main/.github/ISSUE_TEMPLATE,6,1
/mike-clark-8192/argparse-typegen/tree/main/.github,4,1
/mike-clark-8192/argparse-typegen/releases,3,2
/mike-clark-8192/argparse-typegen/blob/main/.github/ISSUE_TEMPLATE/bug_report.md,2,1
/mike-clark-8192/argparse-typegen/community/code-of-conduct/new,2,1
