time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-08 00:00:00+00:00,31,19,60,1
2024-05-09 00:00:00+00:00,2,1,0,0
2024-05-10 00:00:00+00:00,2,2,0,0
2024-05-26 00:00:00+00:00,13,9,14,1
2024-05-27 00:00:00+00:00,5,4,0,0
2024-05-29 00:00:00+00:00,1,1,0,0
2024-06-03 00:00:00+00:00,1,1,0,0
2024-06-04 00:00:00+00:00,1,1,0,0
2024-06-08 00:00:00+00:00,2,1,0,0
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-17 00:00:00+00:00,1,1,0,0
2024-06-20 00:00:00+00:00,2,1,0,0
2024-06-30 00:00:00+00:00,2,1,0,0
2024-07-17 00:00:00+00:00,1,1,0,0
2024-07-26 00:00:00+00:00,1,1,0,0
2024-09-11 00:00:00+00:00,1,1,0,0
2024-10-16 00:00:00+00:00,1,1,0,0
2024-11-05 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-11 00:00:00+00:00,1,1,0,0
2025-01-12 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,1,1,0,0
2025-02-08 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-09 00:00:00+00:00,1,1,0,0
2025-04-25 00:00:00+00:00,1,1,0,0
2025-05-23 00:00:00+00:00,1,1,0,0
2025-06-07 00:00:00+00:00,1,1,0,0
2025-06-21 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-08-15 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,1,1,0,0
2025-11-05 00:00:00+00:00,1,1,0,0
2025-11-06 00:00:00+00:00,1,1,0,0
2025-12-20 00:00:00+00:00,0,0,0,0
2025-12-21 00:00:00+00:00,0,0,0,0
2025-12-22 00:00:00+00:00,0,0,0,0
2025-12-23 00:00:00+00:00,0,0,0,0
2025-12-24 00:00:00+00:00,0,0,0,0
2025-12-25 00:00:00+00:00,1,1,0,0
2025-12-26 00:00:00+00:00,0,0,0,0
2025-12-27 00:00:00+00:00,1,1,0,0
2025-12-28 00:00:00+00:00,0,0,0,0
2025-12-29 00:00:00+00:00,0,0,0,0
2025-12-30 00:00:00+00:00,0,0,0,0
2025-12-31 00:00:00+00:00,1,1,0,0
2026-01-01 00:00:00+00:00,0,0,0,0
2026-01-02 00:00:00+00:00,0,0,0,0
