time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-27 00:00:00+00:00,0,0,4,1
2024-05-08 00:00:00+00:00,1,1,0,0
2024-05-18 00:00:00+00:00,1,1,0,0
2024-06-01 00:00:00+00:00,1,1,0,0
2024-06-26 00:00:00+00:00,1,1,0,0
2024-06-30 00:00:00+00:00,1,1,0,0
2024-08-01 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,1,1,0,0
2024-11-10 00:00:00+00:00,1,1,0,0
2024-12-03 00:00:00+00:00,1,1,0,0
2025-01-10 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-20 00:00:00+00:00,1,1,0,0
2025-02-26 00:00:00+00:00,1,1,0,0
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-27 00:00:00+00:00,1,1,0,0
2025-04-08 00:00:00+00:00,1,1,0,0
2025-04-22 00:00:00+00:00,1,1,0,0
2025-04-27 00:00:00+00:00,1,1,0,0
2025-05-21 00:00:00+00:00,1,1,0,0
2025-06-04 00:00:00+00:00,1,1,0,0
2025-06-05 00:00:00+00:00,2,2,0,0
2025-06-21 00:00:00+00:00,1,1,0,0
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-19 00:00:00+00:00,2,2,0,0
2025-11-06 00:00:00+00:00,1,1,0,0
2025-11-07 00:00:00+00:00,1,1,0,0
2025-11-13 00:00:00+00:00,1,1,0,0
2025-12-20 00:00:00+00:00,0,0,0,0
2025-12-21 00:00:00+00:00,0,0,0,0
2025-12-22 00:00:00+00:00,0,0,0,0
2025-12-23 00:00:00+00:00,0,0,0,0
2025-12-24 00:00:00+00:00,0,0,0,0
2025-12-25 00:00:00+00:00,0,0,0,0
2025-12-26 00:00:00+00:00,1,1,0,0
2025-12-27 00:00:00+00:00,0,0,0,0
2025-12-28 00:00:00+00:00,0,0,0,0
2025-12-29 00:00:00+00:00,0,0,1,1
2025-12-30 00:00:00+00:00,0,0,0,0
2025-12-31 00:00:00+00:00,2,2,0,0
2026-01-01 00:00:00+00:00,1,1,0,0
2026-01-02 00:00:00+00:00,0,0,0,0
