time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-27 00:00:00+00:00,57,33,79,1
2024-04-28 00:00:00+00:00,29,19,44,1
2024-04-29 00:00:00+00:00,0,0,4,1
2024-05-03 00:00:00+00:00,2,1,0,0
2024-05-04 00:00:00+00:00,37,16,0,0
2024-05-06 00:00:00+00:00,1,1,0,0
2024-05-07 00:00:00+00:00,0,0,22,1
2024-05-11 00:00:00+00:00,45,24,0,0
2024-05-15 00:00:00+00:00,0,0,2,1
2024-05-18 00:00:00+00:00,40,25,0,0
2024-05-19 00:00:00+00:00,4,4,21,2
2024-05-20 00:00:00+00:00,1,1,0,0
2024-05-25 00:00:00+00:00,60,34,0,0
2024-05-27 00:00:00+00:00,1,1,0,0
2024-05-29 00:00:00+00:00,1,1,4,1
2024-06-01 00:00:00+00:00,57,32,0,0
2024-06-03 00:00:00+00:00,1,1,0,0
2024-06-08 00:00:00+00:00,64,34,0,0
2024-06-10 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,3,2,0,0
2024-06-15 00:00:00+00:00,38,16,0,0
2024-06-19 00:00:00+00:00,1,1,0,0
2024-06-22 00:00:00+00:00,42,24,0,0
2024-06-26 00:00:00+00:00,1,1,0,0
2024-06-29 00:00:00+00:00,30,13,0,0
2024-07-01 00:00:00+00:00,7,4,0,0
2024-07-06 00:00:00+00:00,20,8,0,0
2024-07-07 00:00:00+00:00,1,1,0,0
2024-07-09 00:00:00+00:00,7,3,0,0
2024-07-13 00:00:00+00:00,29,12,0,0
2024-07-15 00:00:00+00:00,5,2,0,0
2024-07-16 00:00:00+00:00,2,1,0,0
2024-07-20 00:00:00+00:00,27,13,1,1
2024-07-27 00:00:00+00:00,24,12,0,0
2024-08-02 00:00:00+00:00,1,1,0,0
2024-08-03 00:00:00+00:00,29,12,0,0
2024-08-05 00:00:00+00:00,1,1,0,0
2024-08-10 00:00:00+00:00,30,16,0,0
2024-08-17 00:00:00+00:00,37,19,0,0
2024-08-24 00:00:00+00:00,29,13,0,0
2024-08-29 00:00:00+00:00,3,3,0,0
2024-08-31 00:00:00+00:00,39,22,0,0
2024-09-02 00:00:00+00:00,2,2,0,0
2024-09-07 00:00:00+00:00,31,15,0,0
2024-09-11 00:00:00+00:00,5,5,0,0
2024-09-14 00:00:00+00:00,27,13,0,0
2024-09-20 00:00:00+00:00,1,1,0,0
2024-09-21 00:00:00+00:00,32,16,0,0
2024-09-23 00:00:00+00:00,3,3,0,0
2024-09-28 00:00:00+00:00,40,13,0,0
2024-09-29 00:00:00+00:00,0,0,1,1
2024-10-05 00:00:00+00:00,26,12,0,0
2024-10-12 00:00:00+00:00,34,16,0,0
2024-10-19 00:00:00+00:00,38,16,0,0
2024-10-26 00:00:00+00:00,27,11,0,0
2024-11-02 00:00:00+00:00,24,13,0,0
2024-11-09 00:00:00+00:00,36,18,0,0
2024-11-16 00:00:00+00:00,23,10,0,0
2024-11-18 00:00:00+00:00,1,1,0,0
2024-11-23 00:00:00+00:00,32,17,0,0
2024-11-30 00:00:00+00:00,36,10,0,0
2024-12-07 00:00:00+00:00,45,19,0,0
2024-12-10 00:00:00+00:00,1,1,0,0
2024-12-14 00:00:00+00:00,30,15,0,0
2024-12-15 00:00:00+00:00,6,4,0,0
2024-12-17 00:00:00+00:00,1,1,0,0
2024-12-21 00:00:00+00:00,32,13,0,0
2024-12-28 00:00:00+00:00,36,20,0,0
2025-01-04 00:00:00+00:00,31,16,0,0
2025-01-11 00:00:00+00:00,32,13,0,0
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-17 00:00:00+00:00,1,1,0,0
2025-01-18 00:00:00+00:00,36,17,0,0
2025-01-25 00:00:00+00:00,34,19,0,0
2025-02-01 00:00:00+00:00,75,42,0,0
2025-02-08 00:00:00+00:00,66,36,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-15 00:00:00+00:00,74,38,0,0
2025-02-22 00:00:00+00:00,77,39,0,0
2025-02-24 00:00:00+00:00,2,1,0,0
2025-02-25 00:00:00+00:00,1,1,0,0
2025-03-01 00:00:00+00:00,82,45,0,0
2025-03-02 00:00:00+00:00,2,2,0,0
2025-03-03 00:00:00+00:00,1,1,0,0
2025-03-04 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,79,40,0,0
2025-03-09 00:00:00+00:00,3,3,0,0
2025-03-10 00:00:00+00:00,6,5,0,0
2025-03-15 00:00:00+00:00,63,25,0,0
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-22 00:00:00+00:00,61,34,0,0
2025-03-23 00:00:00+00:00,12,3,0,0
2025-03-29 00:00:00+00:00,64,34,0,0
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-05 00:00:00+00:00,77,40,0,0
2025-04-07 00:00:00+00:00,2,2,0,0
2025-04-12 00:00:00+00:00,64,38,0,0
2025-04-18 00:00:00+00:00,1,1,0,0
2025-04-19 00:00:00+00:00,72,34,0,0
2025-04-20 00:00:00+00:00,1,1,0,0
2025-04-24 00:00:00+00:00,1,1,0,0
2025-04-26 00:00:00+00:00,57,23,0,0
2025-04-27 00:00:00+00:00,1,1,0,0
2025-05-03 00:00:00+00:00,69,23,0,0
2025-05-10 00:00:00+00:00,49,24,0,0
2025-05-11 00:00:00+00:00,1,1,0,0
2025-05-17 00:00:00+00:00,45,26,0,0
2025-05-18 00:00:00+00:00,1,1,0,0
2025-05-24 00:00:00+00:00,51,26,0,0
2025-05-25 00:00:00+00:00,2,2,0,0
2025-05-31 00:00:00+00:00,37,22,0,0
2025-06-01 00:00:00+00:00,2,2,0,0
2025-06-07 00:00:00+00:00,63,26,0,0
2025-06-08 00:00:00+00:00,1,1,0,0
2025-06-10 00:00:00+00:00,1,1,0,0
2025-06-13 00:00:00+00:00,1,1,0,0
2025-06-14 00:00:00+00:00,70,52,0,0
2025-06-15 00:00:00+00:00,2,2,0,0
2025-06-21 00:00:00+00:00,54,38,0,0
2025-06-22 00:00:00+00:00,1,1,0,0
2025-06-27 00:00:00+00:00,1,1,0,0
2025-06-28 00:00:00+00:00,56,41,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-06-30 00:00:00+00:00,2,2,1,1
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-05 00:00:00+00:00,69,53,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-08 00:00:00+00:00,1,1,0,0
2025-07-12 00:00:00+00:00,68,53,0,0
2025-07-13 00:00:00+00:00,1,1,0,0
2025-07-14 00:00:00+00:00,0,0,13,1
2025-07-15 00:00:00+00:00,1,1,0,0
2025-07-16 00:00:00+00:00,1,1,0,0
2025-07-19 00:00:00+00:00,61,44,0,0
2025-07-20 00:00:00+00:00,1,1,0,0
2025-07-21 00:00:00+00:00,1,1,0,0
2025-07-26 00:00:00+00:00,69,53,0,0
2025-07-27 00:00:00+00:00,2,2,0,0
2025-07-28 00:00:00+00:00,1,1,0,0
2025-08-02 00:00:00+00:00,52,38,0,0
2025-08-03 00:00:00+00:00,3,2,0,0
2025-08-09 00:00:00+00:00,65,46,0,0
2025-08-10 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,50,37,0,0
2025-08-17 00:00:00+00:00,3,3,0,0
2025-08-19 00:00:00+00:00,2,2,0,0
2025-08-23 00:00:00+00:00,52,39,0,0
2025-08-24 00:00:00+00:00,1,1,0,0
2025-08-25 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,1,1,0,0
2025-08-30 00:00:00+00:00,56,44,0,0
2025-08-31 00:00:00+00:00,2,2,0,0
2025-09-05 00:00:00+00:00,1,1,0,0
2025-09-06 00:00:00+00:00,25,20,0,0
2025-09-07 00:00:00+00:00,3,3,3,3
2025-09-13 00:00:00+00:00,34,26,0,0
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,2,2,0,0
