url_path,views_total,views_unique
/mike-clark-8192/noconsole-win/actions,34,1
/mike-clark-8192/noconsole-win,23,1
/mike-clark-8192/noconsole-win/releases,18,2
/mike-clark-8192/noconsole-win/actions/workflows/release.yml,18,1
/mike-clark-8192/noconsole-win/blob/main/.github/workflows/release.yml,18,1
/mike-clark-8192/noconsole-win/edit/main/.github/workflows/release.yml,16,1
/mike-clark-8192/noconsole-win/tree/main/.github/workflows,6,1
/mike-clark-8192/noconsole-win/new/main,4,1
/mike-clark-8192/noconsole-win/actions/runs/8788637722/workflow,3,1
/mike-clark-8192/noconsole-win/actions/runs/8809739188/job/24181026987,3,1
