time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-21 00:00:00+00:00,10,5,1,1
2024-04-22 00:00:00+00:00,31,20,97,1
2024-04-23 00:00:00+00:00,49,27,107,1
2024-04-24 00:00:00+00:00,25,15,29,1
2024-04-27 00:00:00+00:00,2,1,6,1
2024-04-29 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,1,1,0,0
2024-05-07 00:00:00+00:00,0,0,1,1
2024-05-15 00:00:00+00:00,2,2,19,1
2024-05-16 00:00:00+00:00,0,0,3,1
2024-05-17 00:00:00+00:00,0,0,1,1
2024-05-18 00:00:00+00:00,1,1,1,1
2024-05-22 00:00:00+00:00,1,1,0,0
2024-06-03 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,0,0
2024-06-18 00:00:00+00:00,0,0,1,1
2024-06-19 00:00:00+00:00,1,1,0,0
2024-06-26 00:00:00+00:00,1,1,0,0
2024-06-28 00:00:00+00:00,1,1,0,0
2024-07-10 00:00:00+00:00,0,0,10,1
2024-08-08 00:00:00+00:00,0,0,11,1
2024-08-17 00:00:00+00:00,0,0,2,2
2024-08-29 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,0,0,1,1
2024-09-11 00:00:00+00:00,1,1,2,1
2024-10-19 00:00:00+00:00,1,1,0,0
2024-11-03 00:00:00+00:00,1,1,0,0
2024-11-04 00:00:00+00:00,1,1,0,0
2024-12-12 00:00:00+00:00,1,1,0,0
