time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-08 00:00:00+00:00,8,5,0,0
2024-05-29 00:00:00+00:00,0,0,5,1
2024-06-11 00:00:00+00:00,1,1,0,0
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-17 00:00:00+00:00,1,1,0,0
2024-06-28 00:00:00+00:00,1,1,0,0
2024-07-03 00:00:00+00:00,2,1,0,0
2024-07-17 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,1,1,0,0
2024-09-19 00:00:00+00:00,1,1,0,0
2024-11-04 00:00:00+00:00,1,1,0,0
2024-11-09 00:00:00+00:00,1,1,0,0
2025-01-19 00:00:00+00:00,1,1,0,0
2025-01-31 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,1,1,0,0
2025-02-22 00:00:00+00:00,1,1,0,0
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-06 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-22 00:00:00+00:00,1,1,0,0
2025-04-13 00:00:00+00:00,1,1,0,0
2025-04-25 00:00:00+00:00,1,1,0,0
